File;Accuracy;Precision;Recall
rule_based_evaluation.txt;0.71;0.4888888888888889;0.38596491228070173

;Gold Standard Match; System Match;HLexLink;WikidataLinkGold;WikidataLinkSystem
d3e50525Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e50525Heiligenlexikon-1858;;
d5e370522Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d5e370522Heiligenlexikon-1858;;
d3e205654Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e205654Heiligenlexikon-1858;;
d5e211651Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d5e211651Heiligenlexikon-1858;;
d5e163437Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d5e163437Heiligenlexikon-1858;;
d5e149289Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d5e149289Heiligenlexikon-1858;;
d3e167067Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e167067Heiligenlexikon-1858;;
d3e416320Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e416320Heiligenlexikon-1858;;
d3e237643Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e237643Heiligenlexikon-1858;;
d3e218030Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e218030Heiligenlexikon-1858;;
d3e151981Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e151981Heiligenlexikon-1858;;
d3e584766Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e584766Heiligenlexikon-1858;;
d5e270057Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d5e270057Heiligenlexikon-1858;;
d3e586010Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e586010Heiligenlexikon-1858;;
d5e140554Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d5e140554Heiligenlexikon-1858;;
d3e137252Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e137252Heiligenlexikon-1858;;
d3e411717Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e411717Heiligenlexikon-1858;;
d5e78411Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d5e78411Heiligenlexikon-1858;;
d3e319866Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e319866Heiligenlexikon-1858;;
d5e237097Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d5e237097Heiligenlexikon-1858;;
d5e270172Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d5e270172Heiligenlexikon-1858;;
